"Ménage Artois","2005-02-14","CD"
"Party political bullshit","2001-00-00","CD"
"The Parallax View","1990-00-00","CD"
"Marianne","1991-00-00","CD"
"Lay Back And Join","1989-00-00","CD"
"Wood nymph blonde","1990-00-00","CD"
"Mama Lumba","1990-00-00","CD"
"Bridge to your heart","1991-00-00","CD"
"Nympheas","1991-00-00","CD"
"Aquarelle","1996-00-00","CD"
"Holy Wars","1985-00-00","CD"
"You","1987-00-00","CD"
"Hackadja","1989-00-00","Vinyl LP"
"Ontevreden","1991-00-00","CD"
"De bende van Jan de Wilde","1991-00-00","CD"
"16 Belgian popsongs","1991-00-00","CD"
"TC Matic","1991-00-00","CD"
"Hartelijk gefotografeerd","1986-00-00","CD"
"Misstoestanden","1996-00-00","CD"
"Het beste van de Kreuners","1991-00-00","CD"
"De zavelboom","1987-00-00","CD"
"Curve","1995-00-00","CD"
"Katte-kattekwaad","1991-00-00","CD"
"Oscar","1990-00-00","CD"
"London Baby","1990-00-00","CD"
"Pass the peace","1996-00-00","CD"
"Domenico Scarlatti. Stabat Mater; João Rodrigues Esteves. Missa A Oito Voces","1991-00-00","CD"
"The last tribe","1997-00-00","CD"
"En Cavale","1986-00-00","CD"
"Neurobeat","1987-00-00","CD"
"1976-1986","1991-00-00","CD"
"Feest in de stad","1991-00-00","CD"
"Ik doe niet mee","1991-00-00","CD"
"Vlaamse en Nederlandse hits aller tijden","1996-00-00","CD"
"\"louis\"","1990-00-00","CD"
"De 60's collectie","1989-00-00","CD"
"Karel Lodewijk Hanssens. Vioolconcerto","1995-00-00","CD"
"Ticket in de nachtkastla","1991-00-00","CD"
"De atomische jaren 50","1995-00-00","CD"
"'t Ros Beiaard doet zijn ronde","2001-01-00","CD"
"Is Dit Nu Later","1990-00-00","CD"
"From the inside","1989-00-00","CD"
"A Split-second","1989-00-00","CD"
"Kiss Of Fury","1990-00-00","CD"
"The Best Of Herman Brood & His Wild Romance","1987-00-00","CD"
"About the rain","1989-00-00","CD"
"Rocco Granata","1989-00-00","CD"
"The Brt Big Band Plays Frank Zappa","1990-00-00","CD"
"De dag zal komen","1997-00-00","CD"
"Deadly Weapons","1988-00-00","CD"
"Plastic rozen verwelken niet","1990-00-00","CD"
"Meisjes","1990-00-00","CD"
"'s Nachts kouder dan buiten","1990-00-00","CD"
"Nuages","2004-00-00","CD"
"Album nr. 4","1991-00-00","CD"
"Mogador","2004-04-00","CD"
"L'apache","1991-00-00","CD"
"Choco","1983-00-00","CD"
"Yé yé","1985-00-00","CD"
"Fire & Grace","1990-00-00","CD"
"Essentiels","1990-00-00","CD"
"Spontaneous Effort","1990-00-00","CD"
"Van liefde komt groot lijden: liefde en erotiek","2001-01-00","CD"
"Heroes change","2003-00-00","CD"
"Anyone lived in a pretty how town","1991-00-00","CD"
"Brasero","1992-00-00","CD"
"Oh no, not not now","2005-04-29","CD"
"De 24 grootste successen","1988-00-00","CD"
"Het beste van Miel Cools","1999-00-00","CD"
"Een Carrière","1990-00-00","CD"
"Volle maan","1991-00-00","CD"
"Veel liever","1991-00-00","CD"
"Use Condoms","1995-00-00","CD"
"Nieuwe wegen","1991-00-00","CD"
"De 70's collectie","1989-00-00","CD"
"Album nr. 5","1991-00-00","CD"
"Album nr. 9","1991-00-00","CD"
"Vivaldi; Bononcini. Kantaten","1992-00-00","CD"
"Album nr. 10","1991-00-00","CD"
"The Pop Gun","1989-00-00","CD"
"Secretly","1995-00-00","CD"
"Album nr. 6","1991-00-00","CD"
"New Wave Club Class.X","1991-00-00","CD"
"Album nr. 8","1991-00-00","CD"
"Mental floss for the globe","1989-00-00","CD"
"Concert Vanuit Torhout World Te Torhout","2000-00-00","CD"
"Concert Vanuit Torhout World Te Torhout","2000-00-00","CD"
"Pure Voices","2001-00-00","CD"
"Album nr. 7","1991-00-00","CD"
"Album nr. 3","1991-00-00","CD"
"Live Met Brt Jazz-orkest, Jazz Combine & Kwartet","1991-00-00","CD"
"The Japs","1991-00-00","CD"
"Hell of a show","1991-00-00","CD"
"Good as bad can be","1989-00-00","CD"
"Album nr. 1","1992-00-00","CD"
"Album nr. 2","1992-00-00","CD"
"Intuitions","1989-00-00","CD"
"Voor één seconde","1990-00-00","CD"
"A lover's question","1990-00-00","CD"
"Verborgen verdriet","1995-00-00","CD"
"Mysteries Of America","1990-00-00","CD"
"Moon to your sun","1991-00-00","CD"
"Ace","2002-05-28","CD"
"Street Songs","1991-00-00","CD"
"Het beste van Zjef Vanuytsel","1989-00-00","CD"
"Het beste van Jan De Wilde","1991-00-00","CD"
"Traag is mooi","1986-00-00","CD"
"Melancholie","1991-00-00","CD"
"Paradijs op aarde","1991-00-00","CD"
"Red onze planeet","1991-00-00","CD"
