Fusiegemeente;adress;latitude;longitude
Aalst;Aalst, Belgium;50,9378101;4,0409517
Aalter;Aalter, Belgium;51,087349;3,448371
Aarschot;Aarschot, Belgium;50,9859959;4,8365218
Aartselaar;Aartselaar, Belgium;51,1340539;4,3844742
Affligem;Affligem, Belgium;50,9084;4,11281
Alken;Alken, Belgium;50,87609;5,30767
Alveringem;Alveringem, Belgium;51,0123224;2,7095311
Anderlecht;Anderlecht, Belgium;50,8365808;4,308187
Antwerpen;Antwerpen, Belgium;51,2194475;4,4024643
Anzegem;Anzegem, Belgium;50,8335698;3,479024
Ardooie;Ardooie, Belgium;50,9767648;3,1991212
Arendonk;Arendonk, Belgium;51,322049;5,0863348
As;As, Belgium;51,0079961;5,5840068
Asse;Asse, Belgium;50,909373;4,2005478
Assenede;Assenede, Belgium;51,2269688;3,7510346
Avelgem;Avelgem, Belgium;50,7760145;3,445404
Baarle-Hertog;Baarle-Hertog, Belgium;51,441832;4,931736
Balen;Balen, Belgium;51,1708903;5,1668282
Beernem;Beernem, Belgium;51,1424568;3,3409522
Beerse;Beerse, Belgium;51,31949;4,85482
Beersel;Beersel, Belgium;50,7669262;4,3084744
Begijnendijk;Begijnendijk, Belgium;51,0188;4,78263
Bekkevoort;Bekkevoort, Belgium;50,9448;4,9751
Beringen;Beringen, Belgium;51,04793;5,21862
Berlaar;Berlaar, Belgium;51,11804;4,65752
Berlare;Berlare, Belgium;51,0174273;4,0058218
Bertem;Bertem, Belgium;50,8644751;4,6303588
Bever;Bever, Belgium;50,7169522;3,9406874
Beveren;Beveren, Belgium;51,2132494;4,2581649
Bierbeek;Bierbeek, Belgium;50,8279;4,75981
Bilzen;Bilzen, Belgium;50,8718971;5,5167162
Blankenberge;Blankenberge, Belgium;51,3123743;3,1327685
Bocholt;Bocholt, Belgium;51,17291;5,57899
Boechout;Boechout, Belgium;51,1608194;4,5103875
Bonheiden;Bonheiden, Belgium;51,02221;4,54803
Boom;Boom, Belgium;51,08608;4,36633
Boortmeerbeek;Boortmeerbeek, Belgium;50,97939;4,57598
Borgloon;Borgloon, Belgium;50,80613;5,34302
Bornem;Bornem, Belgium;51,0996057;4,2404586
Borsbeek;Borsbeek, Belgium;51,1966684;4,4856299
Boutersem;Boutersem, Belgium;50,84109;4,83471
Brakel;Brakel, Belgium;50,80276;3,76382
Brasschaat;Brasschaat, Belgium;51,29227;4,49419
Brecht;Brecht, Belgium;51,3496533;4,6377227
Bredene;Bredene, Belgium;51,2345015;2,9728359
Bree;Bree, Belgium;51,14099;5,59802
Brugge;Brugge, Belgium;51,209348;3,2246995
Brussel;Brussel, Belgium;50,8503396;4,3517103
Buggenhout;Buggenhout, Belgium;51,0136764;4,2011261
Damme;Damme, Belgium;51,2513634;3,2813763
De Haan;De Haan, Belgium;51,2762294;3,0300572
De Panne;De Panne, Belgium;51,0962794;2,5905629
De Pinte;De Pinte, Belgium;50,99177;3,64936
Deerlijk;Deerlijk, Belgium;50,85374;3,35335
Deinze;Deinze, Belgium;50,9875406;3,5235857
Denderleeuw;Denderleeuw, Belgium;50,8846118;4,0760221
Dendermonde;Dendermonde, Belgium;51,025477;4,1019516
Dentergem;Dentergem, Belgium;50,9636458;3,4186283
Dessel;Dessel, Belgium;51,23985;5,11269
Destelbergen;Destelbergen, Belgium;51,0609335;3,7977646
Diepenbeek;Diepenbeek, Belgium;50,91083;5,41336
Diest;Diest, Belgium;50,98965;5,05016
Diksmuide;Diksmuide, Belgium;51,033331;2,8658393
