,Gemeente,Latitude,Longitude,Provincie,Continent,Land,Discipline,Subdiscipline,Typering,Frequentie
0,Merksplas,51.3581903,4.8635474,Antwerp,Europa,Vlaanderen,Tentoonstelling,Meerdere kunstvormen,,1
1,Merksplas,51.3581903,4.8635474,Antwerp,Europa,Vlaanderen,Concert,Klassieke muziek,,2
2,Merksplas,51.3581903,4.8635474,Antwerp,Europa,België,Tentoonstelling,Meerdere kunstvormen,,2
3,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Ierland,podium,Circus,Rest,4
4,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Luxemburg,podium,Circus,Rest,4
5,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Frankrijk,podium,Circus,Rest,4
6,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Oostenrijk,podium,Circus,Rest,4
7,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Duitsland,podium,Circus,Rest,4
8,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Letland,Concert,Klassieke muziek,Rest,1
9,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Tsjechië,podium,Circus,Rest,4
10,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Nederland,podium,Circus,Rest,8
11,Herk-de-Stad,50.93923,5.16712,Limburg,Azië,Japan,Concert,Klassieke muziek,Rest,1
12,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Vlaanderen,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,1
13,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Vlaanderen,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,1
14,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,België,Concert,Klassieke muziek,Lokaal (cultuur)beleid,2
15,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Frankrijk,Concert,Klassieke muziek,Lokaal (cultuur)beleid,2
16,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Verenigd Koninkrijk,podium,Theater,Lokaal (cultuur)beleid,1
17,Herk-de-Stad,50.93923,5.16712,Limburg,Europa,Nederland,podium,Theater,Lokaal (cultuur)beleid,1
18,Herk-de-Stad,50.93923,5.16712,Limburg,Noord-Amerika,Verenigde Staten,Concert,Pop en rock,Lokaal (cultuur)beleid,2
19,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Vlaanderen,podium,Theater,Sociaal-cultureel en amateur,14
20,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Vlaanderen,podium,Comedy,Sociaal-cultureel en amateur,2
21,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Frankrijk,Concert,Amusementsmuziek,Sociaal-cultureel en amateur,1
22,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Zwitserland,Concert,Amusementsmuziek,Sociaal-cultureel en amateur,1
23,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Rusland,podium,Theater,Sociaal-cultureel en amateur,21
24,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,België,Concert,Amusementsmuziek,Sociaal-cultureel en amateur,3
25,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Duitsland,Concert,Amusementsmuziek,Sociaal-cultureel en amateur,5
26,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Nederland,Concert,Amusementsmuziek,Sociaal-cultureel en amateur,1
27,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,België,Concert,Folk en wereldmuziek,Rest,2
28,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Duitsland,Concert,Folk en wereldmuziek,Rest,1
29,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Frankrijk,Concert,Klassieke muziek,Rest,1
30,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Verenigd Koninkrijk,Concert,Klassieke muziek,Rest,1
31,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Nederland,Concert,Kunst en kunsteducatie,Vlaams gesubsidieerde kunsten,1
32,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Vlaanderen,Tentoonstelling,Beeldhouwkunst,Lokaal (cultuur)beleid,2
33,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Vlaanderen,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,2
34,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Vlaanderen,podium,Comedy,Lokaal (cultuur)beleid,5
35,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Vlaanderen,podium,Circus,Lokaal (cultuur)beleid,2
36,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Vlaanderen,podium,Theater,Lokaal (cultuur)beleid,6
37,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Griekenland,podium,Theater,Lokaal (cultuur)beleid,4
38,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Italië,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,1
39,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Frankrijk,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,7
40,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Frankrijk,podium,Comedy,Lokaal (cultuur)beleid,2
41,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Frankrijk,podium,Theater,Lokaal (cultuur)beleid,8
42,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Rusland,Concert,Klassieke muziek,Lokaal (cultuur)beleid,5
43,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,België,Concert,Jazz en blues,Lokaal (cultuur)beleid,1
44,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,België,Concert,Klassieke muziek,Lokaal (cultuur)beleid,1
45,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,België,podium,Comedy,Lokaal (cultuur)beleid,1
46,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,België,podium,Theater,Lokaal (cultuur)beleid,8
47,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Duitsland,Concert,Jazz en blues,Lokaal (cultuur)beleid,1
48,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Duitsland,podium,Theater,Lokaal (cultuur)beleid,3
49,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Verenigd Koninkrijk,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,3
50,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Verenigd Koninkrijk,Concert,Klassieke muziek,Lokaal (cultuur)beleid,1
51,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Verenigd Koninkrijk,podium,Comedy,Lokaal (cultuur)beleid,1
52,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Verenigd Koninkrijk,podium,Theater,Lokaal (cultuur)beleid,2
53,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Nederland,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,3
54,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Nederland,podium,Theater,Lokaal (cultuur)beleid,5
55,Oudenaarde,50.8469547,3.6013676,East Flanders,Noord-Amerika,Verenigde Staten,Concert,Jazz en blues,Lokaal (cultuur)beleid,1
56,Oudenaarde,50.8469547,3.6013676,East Flanders,Noord-Amerika,Verenigde Staten,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,2
57,Oudenaarde,50.8469547,3.6013676,East Flanders,Noord-Amerika,Canada,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,1
58,Oudenaarde,50.8469547,3.6013676,East Flanders,Noord-Amerika,Canada,podium,Theater,Lokaal (cultuur)beleid,2
59,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Duitsland,Concert,Klassieke muziek,,2
60,Oudenaarde,50.8469547,3.6013676,East Flanders,Europa,Frankrijk,Concert,Klassieke muziek,,1
61,Hoegaarden,50.77433,4.89273,Flemish Brabant,Noord-Amerika,Verenigde Staten,Concert,Amusementsmuziek,Rest,2
62,Lennik,50.8086929,4.161434,Flemish Brabant,Europa,Oekraïne,Concert,Folk en wereldmuziek,Sociaal-cultureel en amateur,2
63,Lennik,50.8086929,4.161434,Flemish Brabant,Europa,Vlaanderen,Tentoonstelling,Schilderkunst,Lokaal (cultuur)beleid,1
64,Lennik,50.8086929,4.161434,Flemish Brabant,Europa,Vlaanderen,Tentoonstelling,Meerdere kunstvormen,Lokaal (cultuur)beleid,1
65,Nevele,51.0343323,3.5474483,East Flanders,Europa,Vlaanderen,Concert,Folk en wereldmuziek,Sociaal-cultureel en amateur,2
66,Nevele,51.0343323,3.5474483,East Flanders,Europa,Duitsland,podium,Theater,Sociaal-cultureel en amateur,2
67,Nevele,51.0343323,3.5474483,East Flanders,Europa,Verenigd Koninkrijk,podium,Comedy,Sociaal-cultureel en amateur,5
68,Nevele,51.0343323,3.5474483,East Flanders,Europa,Vlaanderen,Concert,"Hip hop, rnb en rap",,1
69,Nevele,51.0343323,3.5474483,East Flanders,Europa,Vlaanderen,Concert,Pop en rock,,1
70,Nevele,51.0343323,3.5474483,East Flanders,Europa,België,Tentoonstelling,Beeldhouwkunst,,1
71,Nevele,51.0343323,3.5474483,East Flanders,Europa,België,Concert,Jazz en blues,,1
72,Nevele,51.0343323,3.5474483,East Flanders,Europa,België,Concert,Pop en rock,,2
73,Nevele,51.0343323,3.5474483,East Flanders,Europa,België,Concert,Folk en wereldmuziek,,4
74,Nevele,51.0343323,3.5474483,East Flanders,Europa,Frankrijk,Tentoonstelling,Schilderkunst,,4
75,Nevele,51.0343323,3.5474483,East Flanders,Europa,Nederland,Concert,Folk en wereldmuziek,,1
76,Nevele,51.0343323,3.5474483,East Flanders,Noord-Amerika,Verenigde Staten,Concert,Jazz en blues,,1
77,Nevele,51.0343323,3.5474483,East Flanders,Zuid-Amerika,Argentinië,Concert,Folk en wereldmuziek,,5
78,Nevele,51.0343323,3.5474483,East Flanders,Europa,België,Tentoonstelling,Beeldhouwkunst,Privaat,2
79,Nevele,51.0343323,3.5474483,East Flanders,Europa,België,podium,Comedy,Privaat,2
80,Nevele,51.0343323,3.5474483,East Flanders,Europa,Vlaanderen,Concert,Pop en rock,Rest,1
81,Nevele,51.0343323,3.5474483,East Flanders,Europa,Vlaanderen,Concert,Klassieke muziek,Rest,3
82,Nevele,51.0343323,3.5474483,East Flanders,Europa,België,Concert,Folk en wereldmuziek,Rest,2
83,Nevele,51.0343323,3.5474483,East Flanders,Europa,Frankrijk,Concert,Folk en wereldmuziek,Rest,1
84,Nevele,51.0343323,3.5474483,East Flanders,Europa,Vlaanderen,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,1
85,Nevele,51.0343323,3.5474483,East Flanders,Europa,Verenigd Koninkrijk,podium,Comedy,Lokaal (cultuur)beleid,5
86,Wichelen,51.0048208,3.97358,East Flanders,Europa,Vlaanderen,Concert,Klassieke muziek,Sociaal-cultureel en amateur,1
87,Wichelen,51.0048208,3.97358,East Flanders,Europa,Vlaanderen,podium,Theater,Sociaal-cultureel en amateur,1
88,Wichelen,51.0048208,3.97358,East Flanders,Europa,België,podium,Theater,Sociaal-cultureel en amateur,1
89,Wichelen,51.0048208,3.97358,East Flanders,Europa,Griekenland,podium,Theater,Sociaal-cultureel en amateur,1
90,Wichelen,51.0048208,3.97358,East Flanders,Europa,Denemarken,podium,Theater,Sociaal-cultureel en amateur,5
91,Wichelen,51.0048208,3.97358,East Flanders,Europa,België,Concert,Klassieke muziek,Rest,2
92,Wichelen,51.0048208,3.97358,East Flanders,Europa,Frankrijk,Concert,Klassieke muziek,Rest,1
93,Boechout,51.1608194,4.5103875,Antwerp,Europa,Frankrijk,Concert,Folk en wereldmuziek,Sociaal-cultureel en amateur,2
94,Boechout,51.1608194,4.5103875,Antwerp,Europa,Verenigd Koninkrijk,Concert,Thema onbepaald,Sociaal-cultureel en amateur,1
95,Boechout,51.1608194,4.5103875,Antwerp,Europa,Verenigd Koninkrijk,podium,Comedy,Sociaal-cultureel en amateur,5
96,Boechout,51.1608194,4.5103875,Antwerp,Europa,Nederland,Concert,Thema onbepaald,Sociaal-cultureel en amateur,1
97,Boechout,51.1608194,4.5103875,Antwerp,Noord-Amerika,Canada,Concert,Folk en wereldmuziek,Sociaal-cultureel en amateur,2
98,Boechout,51.1608194,4.5103875,Antwerp,Oceanië,Australië,Concert,Folk en wereldmuziek,Sociaal-cultureel en amateur,2
99,Boechout,51.1608194,4.5103875,Antwerp,Afrika,Congo-Kinshasa,Concert,Folk en wereldmuziek,Sociaal-cultureel en amateur,3
100,Boechout,51.1608194,4.5103875,Antwerp,Europa,Roemenië,Tentoonstelling,Grafiek,,2
101,Boechout,51.1608194,4.5103875,Antwerp,Europa,Luxemburg,Tentoonstelling,Grafiek,,2
102,Boechout,51.1608194,4.5103875,Antwerp,Europa,België,Tentoonstelling,Meerdere kunstvormen,,2
103,Boechout,51.1608194,4.5103875,Antwerp,Europa,Duitsland,Tentoonstelling,Grafiek,,1
104,Boechout,51.1608194,4.5103875,Antwerp,Europa,Nederland,Tentoonstelling,Meerdere kunstvormen,,4
105,Boechout,51.1608194,4.5103875,Antwerp,Europa,Kroatië,Tentoonstelling,Grafiek,,2
106,Boechout,51.1608194,4.5103875,Antwerp,Azië,Zuid-Korea,Tentoonstelling,Grafiek,,7
107,Boechout,51.1608194,4.5103875,Antwerp,Azië,Japan,Tentoonstelling,Grafiek,,6
108,Boechout,51.1608194,4.5103875,Antwerp,Zuid-Amerika,Venezuela,podium,Onbepaald,,3
109,Boechout,51.1608194,4.5103875,Antwerp,Europa,Vlaanderen,podium,Theater,Privaat,1
110,Boechout,51.1608194,4.5103875,Antwerp,Europa,Oekraïne,podium,Theater,Privaat,1
111,Boechout,51.1608194,4.5103875,Antwerp,Europa,Spanje,podium,Theater,Privaat,5
112,Boechout,51.1608194,4.5103875,Antwerp,Europa,Portugal,podium,Theater,Privaat,1
113,Boechout,51.1608194,4.5103875,Antwerp,Europa,Nederland,podium,Theater,Privaat,1
114,Boechout,51.1608194,4.5103875,Antwerp,Noord-Amerika,Verenigde Staten,podium,Theater,Privaat,1
115,Boechout,51.1608194,4.5103875,Antwerp,Europa,Vlaanderen,Concert,Folk en wereldmuziek,Rest,2
116,Boechout,51.1608194,4.5103875,Antwerp,Europa,Vlaanderen,podium,Theater,Lokaal (cultuur)beleid,6
117,Boechout,51.1608194,4.5103875,Antwerp,Europa,Frankrijk,podium,Theater,Lokaal (cultuur)beleid,1
118,Boechout,51.1608194,4.5103875,Antwerp,Europa,Spanje,podium,Theater,Lokaal (cultuur)beleid,6
119,Boechout,51.1608194,4.5103875,Antwerp,Europa,België,podium,Onbepaald,Lokaal (cultuur)beleid,1
120,Boechout,51.1608194,4.5103875,Antwerp,Europa,België,podium,Theater,Lokaal (cultuur)beleid,7
121,Boechout,51.1608194,4.5103875,Antwerp,Europa,Verenigd Koninkrijk,podium,Onbepaald,Lokaal (cultuur)beleid,1
122,Boechout,51.1608194,4.5103875,Antwerp,Europa,Verenigd Koninkrijk,podium,Theater,Lokaal (cultuur)beleid,1
123,Boechout,51.1608194,4.5103875,Antwerp,Europa,Nederland,podium,Onbepaald,Lokaal (cultuur)beleid,1
124,Boechout,51.1608194,4.5103875,Antwerp,Europa,Nederland,podium,Theater,Lokaal (cultuur)beleid,4
125,Boechout,51.1608194,4.5103875,Antwerp,Azië,Mongolië,podium,Theater,Lokaal (cultuur)beleid,1
126,Boechout,51.1608194,4.5103875,Antwerp,Afrika,Mali,podium,Theater,Lokaal (cultuur)beleid,1
127,Boechout,51.1608194,4.5103875,Antwerp,Zuid-Amerika,Venezuela,podium,Theater,Lokaal (cultuur)beleid,9
128,Haaltert,50.90244,4.0056592,East Flanders,Europa,Vlaanderen,Concert,Klassieke muziek,Sociaal-cultureel en amateur,1
129,Haaltert,50.90244,4.0056592,East Flanders,Zuid-Amerika,Chili,Concert,Folk en wereldmuziek,Rest,1
130,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,podium,Theater,Sociaal-cultureel en amateur,4
131,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,podium,Comedy,Sociaal-cultureel en amateur,1
132,De Panne,51.0962794,2.5905629,West Flanders,Europa,België,Concert,Dance,Sociaal-cultureel en amateur,1
133,De Panne,51.0962794,2.5905629,West Flanders,Europa,Nederland,podium,Theater,Sociaal-cultureel en amateur,1
134,De Panne,51.0962794,2.5905629,West Flanders,Europa,Duitsland,Concert,Folk en wereldmuziek,Rest,1
135,De Panne,51.0962794,2.5905629,West Flanders,Europa,Frankrijk,Concert,Folk en wereldmuziek,Rest,1
136,De Panne,51.0962794,2.5905629,West Flanders,Oceanië,Australië,Concert,Pop en rock,Rest,1
137,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,Concert,Amusementsmuziek,Privaat,6
138,De Panne,51.0962794,2.5905629,West Flanders,Europa,Duitsland,Concert,Amusementsmuziek,Privaat,1
139,De Panne,51.0962794,2.5905629,West Flanders,Europa,Verenigd Koninkrijk,Concert,Amusementsmuziek,Privaat,1
140,De Panne,51.0962794,2.5905629,West Flanders,Oceanië,Australië,Concert,Amusementsmuziek,Privaat,2
141,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,1
142,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,1
143,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,Concert,Pop en rock,Lokaal (cultuur)beleid,1
144,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,podium,Onbepaald,Lokaal (cultuur)beleid,6
145,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,podium,Theater,Lokaal (cultuur)beleid,5
146,De Panne,51.0962794,2.5905629,West Flanders,Europa,Ierland,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,1
147,De Panne,51.0962794,2.5905629,West Flanders,Europa,Italië,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,1
148,De Panne,51.0962794,2.5905629,West Flanders,Europa,Frankrijk,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,1
149,De Panne,51.0962794,2.5905629,West Flanders,Europa,Frankrijk,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,2
150,De Panne,51.0962794,2.5905629,West Flanders,Europa,Frankrijk,podium,Onbepaald,Lokaal (cultuur)beleid,6
151,De Panne,51.0962794,2.5905629,West Flanders,Europa,Frankrijk,podium,Theater,Lokaal (cultuur)beleid,1
152,De Panne,51.0962794,2.5905629,West Flanders,Europa,Spanje,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,1
153,De Panne,51.0962794,2.5905629,West Flanders,Europa,België,Tentoonstelling,Meerdere kunstvormen,Lokaal (cultuur)beleid,2
154,De Panne,51.0962794,2.5905629,West Flanders,Europa,Duitsland,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,1
155,De Panne,51.0962794,2.5905629,West Flanders,Europa,Verenigd Koninkrijk,Concert,Amusementsmuziek,Lokaal (cultuur)beleid,1
156,De Panne,51.0962794,2.5905629,West Flanders,Europa,Verenigd Koninkrijk,Concert,Pop en rock,Lokaal (cultuur)beleid,4
157,De Panne,51.0962794,2.5905629,West Flanders,Europa,Verenigd Koninkrijk,podium,Theater,Lokaal (cultuur)beleid,1
158,De Panne,51.0962794,2.5905629,West Flanders,Azië,China,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,1
159,De Panne,51.0962794,2.5905629,West Flanders,Centraal-Amerika,Mexico,Concert,Folk en wereldmuziek,Lokaal (cultuur)beleid,2
160,De Panne,51.0962794,2.5905629,West Flanders,Europa,Vlaanderen,Concert,Amusementsmuziek,,8
161,De Panne,51.0962794,2.5905629,West Flanders,Europa,Verenigd Koninkrijk,Concert,Amusementsmuziek,,1
162,De Panne,51.0962794,2.5905629,West Flanders,Europa,Verenigd Koninkrijk,Concert,Klassieke muziek,,1
163,Schilde,51.2407352,4.5834231,Antwerp,Europa,Vlaanderen,Concert,Klassieke muziek,Sociaal-cultureel en amateur,6
164,Schilde,51.2407352,4.5834231,Antwerp,Europa,Vlaanderen,podium,Theater,Sociaal-cultureel en amateur,1
165,Schilde,51.2407352,4.5834231,Antwerp,Europa,Frankrijk,podium,Theater,Sociaal-cultureel en amateur,2
