Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Aalst;9300;Aalst;Centrumstad;Aalst;East Flanders;Belgium;Oost-Vlaanderen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Gijzegem (Aalst);9308;Aalst;Centrumstad;Gijzegem (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hofstade (Aalst);9308;Aalst;Centrumstad;Hofstade (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Baardegem (Aalst);9310;Aalst;Centrumstad;Baardegem (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herdersem (Aalst);9310;Aalst;Centrumstad;Herdersem (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meldert (Aalst);9310;Aalst;Centrumstad;Meldert (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moorsel (Aalst);9310;Aalst;Centrumstad;Moorsel (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Erembodegem (Aalst);9320;Aalst;Centrumstad;Erembodegem (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nieuwerkerken (Aalst);9320;Aalst;Centrumstad;Nieuwerkerken (Aalst);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Aalter;9880;Aalter;Niet-stedelijk;Aalter;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Poeke (Aalter);9880;Aalter;Niet-stedelijk;Poeke (Aalter);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bellem (Aalter);9881;Aalter;Niet-stedelijk;Bellem (Aalter);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Aarschot;3200;Aarschot;Niet-stedelijk;Aarschot;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gelrode (Aarschot);3200;Aarschot;Niet-stedelijk;Gelrode (Aarschot);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Langdorp (Aarschot);3201;Aarschot;Niet-stedelijk;Langdorp (Aarschot);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rillaar (Aarschot);3202;Aarschot;Niet-stedelijk;Rillaar (Aarschot);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Aartselaar;2630;Aartselaar;Niet-stedelijk;Aartselaar;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Affligem;1790;Affligem;Niet-stedelijk;Affligem;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hekelgem (Affligem);1790;Affligem;Niet-stedelijk;Hekelgem (Affligem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Teralfene (Affligem);1790;Affligem;Niet-stedelijk;Teralfene (Affligem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Alken;3570;Alken;Niet-stedelijk;Alken;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Alveringem;8690;Alveringem;Niet-stedelijk;Alveringem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoogstade (Alveringem);8690;Alveringem;Niet-stedelijk;Hoogstade (Alveringem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
